1022 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1586810   1587337   1               7                54.0       7
1587338   1588169   4               7                64.9       7
1588170   1589892   3               7                75.2       7
1589893   1590096   4               7                23.5       7
1590420   1590573   1               7                72.4       7
1596558   1597388   4               7                30.8       7
1597389   1598874   3               7                8.7        7
1598875   1599773   4               7                16.5       7
1599774   1601116   3               7                43.2       7
1601117   1602881   4               7                70.9       7
1603998   1604033   4               7                27.3       7
1604034   1604154   1               7                65.6       7
1604155   1605675   4               7                241.1      7
1605676   1606338   3               7                66.1       7
1606339   1607278   4               7                50.5       7
1607279   1607686   3               7                28.9       7
1607687   1608160   1               7                27.2       7
1608161   1608449   3               7                2.0        7
1608500   1609155   1               7                38.1       7
1609156   1609359   4               7                3.3        7
1609360   1610495   1               7                182.6      7
1610496   1611865   4               7                46.2       7
1613588   1613754   3               7                20.8       7
1613755   1613909   4               7                12.5       7
1613910   1615456   3               7                108.9      7
1615457   1616257   4               7                46.1       7
1635312   1635647   4               7                304.8      7
1635648   1636058   1               7                13.6       7
1636059   1636323   4               7                2.3        7
1636324   1636416   3               7                2.3        7
1636417   1636451   4               7                0.4        7
1636452   1636930   1               7                39.0       7
1637642   1639429   4               7                92.1       7
1639430   1639629   1               7                3.4        7
1639630   1640195   3               7                2.1        7
1642614   1642790   4               7                97.3       7
1649073   1649097   3               7                6.2        7
1649098   1649881   4               7                31.7       7
1649882   1650713   1               7                17.3       7
1650714   1651100   4               7                138.8      7
1651101   1656328   1               7                128.8      7
1656329   1657660   4               7                2.3        7
1657661   1657788   3               7                32.7       7
1657789   1659587   1               7                519.3      7
1659588   1660536   4               7                12.9       7
1684929   1685783   3               7                60.3       7
1685784   1686026   4               7                17.8       7
1686027   1686206   1               7                15.8       7
1686945   1687671   1               7                762.4      7
1687672   1688324   3               7                992.5      7
1688325   1690553   1               7                1934.3     7
1690554   1690697   3               7                57.3       7
1690698   1692497   4               7                169.9      7
1692498   1692855   3               7                26.4       7
1695221   1696198   3               7                273.1      7
1696199   1697255   1               7                86.6       7
1697256   1697703   4               7                12.9       7
1697704   1697805   3               7                6.1        7
1697806   1697870   4               7                17.8       7
1697871   1698275   3               7                37.3       7
1698276   1698589   4               7                45.3       7
1698590   1699315   3               7                158.3      7
1699367   1700238   4               7                55.9       7
1704990   1705714   1               7                93.9       7
1705715   1706213   4               7                15.5       7
1706214   1707350   1               7                112.8      7
1707351   1707575   4               7                65.3       7
1707576   1707668   3               7                10.9       7
1707669   1707969   1               7                69.6       7
1707970   1708058   4               7                25.9       7
1723128   1723258   1               7                81.2       7
1738466   1738755   4               7                116.7      7
2387928   2399067   3               7                419.6      7
2399068   2399789   4               7                72.5       7
2399790   2403450   3               7                60.5       7
2403451   2403558   1               7                39.7       7
2403559   2407486   3               7                368.8      7
2408800   2409721   1               7                47.2       7
2409722   2410214   3               7                5.7        7
2410215   2410580   4               7                38.7       7
2410581   2411574   3               7                199.3      7
2414402   2415132   1               7                192.0      7
2415133   2415708   4               7                36.2       7
2415709   2416291   1               7                77.9       7
2416292   2417096   4               7                187.0      7
2417097   2419639   1               7                180.9      7
2419640   2423153   3               7                178.2      7
2423154   2424748   4               7                96.2       7
2434622   2438051   3               7                622.4      7
2440642   2440801   1               7                236.1      7
2440802   2442903   3               7                222.2      7
2445405   2445773   3               7                30.1       7
2445774   2445925   4               7                17.0       7
2446129   2449681   3               7                108.2      7
2449682   2450487   1               7                95.0       7
2450488   2453469   3               7                80.0       7
2453470   2453768   1               7                16.1       7
2453769   2459694   3               7                352.2      7
3501698   3502579   3               7                48.1       7
3502580   3502996   4               7                32.7       7
3502997   3507380   3               7                308.7      7
3507381   3508116   4               7                36.3       7
3508117   3510819   3               7                184.7      7
3510820   3513603   4               7                478.1      7
3514886   3514972   3               7                16.0       7
3514973   3515531   1               7                57.1       7
3515532   3516222   3               7                104.3      7
3516223   3516338   1               7                9.8        7
3564645   3566990   3               7                99.5       7
3566991   3567054   4               7                7.9        7
3568103   3568555   3               7                12.8       7
3568556   3569549   4               7                53.1       7
3569550   3569798   1               7                39.4       7
3575705   3579969   3               7                112.0      7
3579970   3580157   4               7                0.2        7
3580158   3583101   3               7                93.6       7
3583102   3584427   4               7                64.7       7
3584428   3586132   3               7                20.4       7
3592816   3593240   1               7                166.6      7
3593241   3593814   4               7                78.3       7
3593815   3593987   3               7                11.8       7
3593988   3594584   4               7                81.7       7
3594585   3595315   3               7                47.8       7
3595316   3595976   4               7                34.2       7
3595977   3596132   1               7                21.3       7
3598317   3598493   4               7                3.9        7
3598494   3599115   3               7                107.7      7
3599116   3601416   4               7                100.3      7
3601417   3606029   3               7                307.0      7
3606030   3607052   4               7                87.6       7
3607053   3607244   3               7                3.6        7
3607245   3608004   4               7                18.3       7
3608005   3608118   3               7                23.8       7
3608119   3609434   4               7                64.9       7
3609435   3611928   3               7                97.0       7
3611929   3612424   4               7                72.8       7
3612425   3615363   3               7                164.2      7
3615364   3616042   1               7                16.1       7
3616043   3616331   3               7                33.1       7
3616332   3616625   1               7                24.3       7
3616626   3617345   3               7                18.8       7
3617346   3621770   1               7                152.3      7
3621771   3622555   4               7                109.0      7
3622556   3623208   1               7                27.0       7
3623209   3624641   3               7                22.9       7
3624642   3625631   1               7                45.8       7
3626511   3627632   3               7                26.4       7
3627633   3628130   4               7                12.1       7
3628131   3628460   1               7                19.2       7
3628461   3629077   3               7                51.0       7
3634546   3638621   3               7                251.4      7
3638622   3638829   1               7                46.7       7
3638830   3640460   3               7                91.6       7
3640461   3641289   1               7                11.1       7
3641290   3641902   3               7                13.7       7
3641903   3642707   4               7                8.4        7
3642708   3645011   3               7                38.1       7
3645012   3645341   1               7                11.6       7
3645342   3648261   4               7                172.1      7
3648262   3649830   3               7                16.0       7
3649831   3650433   4               7                43.4       7
3650434   3650679   3               7                13.6       7
3650680   3651327   1               7                70.9       7
3651328   3651532   3               7                168.3      7
3651533   3651848   1               7                19.6       7
3651849   3653875   4               7                120.5      7
3656427   3657798   1               7                125.9      7
3657799   3657868   3               7                3.1        7
3657869   3658718   1               7                101.9      7
3658719   3658821   3               7                15.0       7
3658822   3662590   4               7                373.9      7
3662591   3664059   1               7                139.3      7
3664060   3665421   4               7                46.3       7
3665422   3668514   1               7                150.1      7
3668515   3668716   3               7                57.1       7
3668717   3669038   1               7                68.3       7
36888     37507     3               8                99.3       8
353734    355911    3               8                41.0       8
359732    361422    4               8                26.3       8
387147    388122    3               8                90.3       8
398316    398561    3               8                48.4       8
493409    494972    3               8                109.0      8
494973    495284    2               8                74.0       8
495285    495326    3               8                8.1        8
495327    495353    2               8                2.6        8
495354    495446    4               8                7.1        8
534003    534253    3               8                48.0       8
851783    852652    3               8                28.5       8
959229    959379    4               8                19.0       8
959380    961177    3               8                38.1       8
1220510   1220652   2               8                48.7       8
1225156   1226627   3               8                112.8      8
1228706   1228954   2               8                113.2      8
1242875   1243372   3               8                15.4       8
1243373   1244768   4               8                14.5       8
1324132   1326946   4               8                25.0       8
1506364   1508087   3               8                108.2      8
1666964   1667142   2               8                51.7       8
1683831   1684455   2               8                79.7       8
1684456   1686683   4               8                101.5      8
1686684   1686971   2               8                29.0       8
1722459   1723221   3               8                46.8       8
1843070   1843243   2               8                3.6        8
1843244   1843421   3               8                26.8       8
1870352   1870434   2               8                50.7       8
2052653   2052936   2               8                62.5       8
2158698   2160240   3               8                47.7       8
2160241   2161309   2               8                8.7        8
2161310   2161671   4               8                22.5       8
2175113   2176060   4               8                47.9       8
2223549   2224550   3               8                51.1       8
2401645   2403063   2               8                7.8        8
2439204   2439375   3               8                56.4       8
2509956   2510127   4               8                3.6        8
2510128   2510815   3               8                21.8       8
2576317   2578269   3               8                11.2       8
2578270   2578666   2               8                0.9        8
2788039   2788233   4               8                81.0       8
2931449   2931894   3               8                192.1      8
2931895   2931985   2               8                28.5       8
3056322   3056478   3               8                43.0       8
3144552   3145467   3               8                43.9       8
3202552   3202690   3               8                19.9       8
3202691   3203686   4               8                36.7       8
3453551   3453886   3               8                78.8       8
3512249   3514206   3               8                207.3      8
3514207   3514655   4               8                21.8       8
3565831   3566594   3               8                38.9       8
3566595   3567637   2               8                4.2        8
3567638   3569267   3               8                8.6        8
3592677   3593388   2               8                125.6      8
3593389   3594210   3               8                69.0       8
3594211   3594789   2               8                52.0       8
3594790   3602063   3               8                265.6      8
3602064   3603881   2               8                54.5       8
3603882   3615024   3               8                684.9      8
3615025   3620401   2               8                127.2      8
3620402   3621794   4               8                0.0        8
3621795   3626845   2               8                310.1      8
3626846   3631708   3               8                581.2      8
3631709   3635410   2               8                82.4       8
3635411   3640876   3               8                242.2      8
3640877   3641806   4               8                20.5       8
3641807   3643543   2               8                29.4       8
3643544   3644705   3               8                30.3       8
3644706   3645711   2               8                17.0       8
3651262   3651713   3               8                103.2      8
3651714   3653190   4               8                44.9       8
3653191   3654348   3               8                6.0        8
3654349   3656322   2               8                174.5      8
3656323   3658973   3               8                79.0       8
3658974   3667908   2               8                364.3      8
3667909   3669470   3               8                56.3       8
3669471   3670038   2               8                27.9       8
